"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","645","Fetch Product Groups - Success","Schedule - Customer Automated","Tue Jul 08 15:07:08 GMT 2025","passed","Tue Jul 08 15:07:08 GMT 2025","Product Groups > Fetch Product groups","Customer","",""
"","126","fetch customer profile - invalid token","Schedule - Customer Automated","Tue Jul 08 15:07:09 GMT 2025","passed","Tue Jul 08 15:07:09 GMT 2025","Customer > Fetch customer profile","Customer","",""
"","129","create customer - blank firstname","Schedule - Customer Automated","Tue Jul 08 15:07:04 GMT 2025","passed","Tue Jul 08 15:07:04 GMT 2025","Auth > Signup/Optin","Customer","",""
"","124","Create Subscriptions- Success","Schedule - Customer Automated","Tue Jul 08 15:07:10 GMT 2025","failed","Tue Jul 08 15:07:10 GMT 2025","Subscriptions > Create Subscriptions","Customer","",""
"","119","Get Subscriptions - Invalid Token","Schedule - Customer Automated","Tue Jul 08 15:07:11 GMT 2025","passed","Tue Jul 08 15:07:11 GMT 2025","Subscriptions > Get Subscriptions","Customer","",""
"","138","Get Subscriptions stats - success","Schedule - Customer Automated","Tue Jul 08 15:07:11 GMT 2025","failed","Tue Jul 08 15:07:11 GMT 2025","Subscriptions > Get subscription stats","Customer","",""
"","148","Fetch a product - Success","Schedule - Customer Automated","Tue Jul 08 15:07:09 GMT 2025","passed","Tue Jul 08 15:07:09 GMT 2025","Products > Fetch a product","Customer","",""
"","154","Create Subscriptions- Negative amount","Schedule - Customer Automated","Tue Jul 08 15:07:11 GMT 2025","failed","Tue Jul 08 15:07:11 GMT 2025","Subscriptions > Create Subscriptions","Customer","",""
"","130","Fetch a Category - Success","Schedule - Customer Automated","Tue Jul 08 15:07:07 GMT 2025","passed","Tue Jul 08 15:07:07 GMT 2025","Categories > Fetch a Category","Customer","",""
"","121","Create Subscriptions- Invalid account number","Schedule - Customer Automated","Tue Jul 08 15:07:11 GMT 2025","failed","Tue Jul 08 15:07:11 GMT 2025","Subscriptions > Create Subscriptions","Customer","",""
"","117","fetch customer profile - blank","Schedule - Customer Automated","Tue Jul 08 15:07:09 GMT 2025","passed","Tue Jul 08 15:07:10 GMT 2025","Customer > Fetch customer profile","Customer","",""
"","1730","create customer - success without name","Schedule - Customer Automated","Tue Jul 08 15:07:02 GMT 2025","passed","Tue Jul 08 15:07:03 GMT 2025","Auth > Signup/Optin","Customer","",""
"","129","customer login - blank phone number","Schedule - Customer Automated","Tue Jul 08 15:07:05 GMT 2025","passed","Tue Jul 08 15:07:05 GMT 2025","Auth > Login","Customer","",""
"","131","validate otp - success","Schedule - Customer Automated","Tue Jul 08 15:07:05 GMT 2025","failed","Tue Jul 08 15:07:05 GMT 2025","Auth > validate otp","Customer","",""
"","151","Create Subscriptions- blank frequency","Schedule - Customer Automated","Tue Jul 08 15:07:10 GMT 2025","failed","Tue Jul 08 15:07:11 GMT 2025","Subscriptions > Create Subscriptions","Customer","",""
"","132","Get Mandates - Invalid Token","Schedule - Customer Automated","Tue Jul 08 15:07:10 GMT 2025","passed","Tue Jul 08 15:07:10 GMT 2025","Mandates","Customer","",""
